Model_ID,Category_Title,Brand_Title,Device_Title,Model_Title,Model_Image,Storage_Title,unlocked:great_condition,unlocked:noticeable_wears_and_tears,unlocked:cracked_glass_good_lcd,unlocked:broken_lcd,unlocked:doa,att:great_condition,att:noticeable_wears_and_tears,att:cracked_glass_good_lcd,att:broken_lcd,att:doa,verizon:great_condition,verizon:noticeable_wears_and_tears,verizon:cracked_glass_good_lcd,verizon:broken_lcd,verizon:doa,tmobile:great_condition,tmobile:noticeable_wears_and_tears,tmobile:cracked_glass_good_lcd,tmobile:broken_lcd,tmobile:doa,sprint:great_condition,sprint:noticeable_wears_and_tears,sprint:cracked_glass_good_lcd,sprint:broken_lcd,sprint:doa,other:great_condition,other:noticeable_wears_and_tears,other:cracked_glass_good_lcd,other:broken_lcd,other:doa,Meta_Title,Meta_Description,Meta_Keywords
1,Phones,Apple,iPhone,"iPhone 6S",20181214020339.png,16GB,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Phones,Apple,iPhone,"iPhone 6S",20181214020339.png,32GB,111,22,333,44,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Phones,Apple,iPhone,"iPhone 6S",20181214020339.png,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Phones,Apple,iPhone,"iPhone 6S",20181214020339.png,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Phones,Apple,iPhone,"iPhone 6S",20181214020339.png,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Phones,Apple,iPhone,"iPhone 6S",20181214020339.png,512GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Phones,Apple,iPhone,"iPhone 6S",20181214020339.png,1024GB,30,31,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Phones,Apple,iPhone,"iPhone 6S Plus",20181126041612.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Phones,Apple,iPhone,"iPhone 7",20181210153130.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Phones,Apple,iPhone,"iPhone 7",20181210153130.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Phones,Apple,iPhone,"iPhone 7",20181210153130.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Phones,Apple,iPhone,"iPhone 7 Plus",20181126040433.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Phones,Apple,iPhone,"iPhone 7 Plus",20181126040433.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Phones,Apple,iPhone,"iPhone 7 Plus",20181126040433.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Phones,Apple,iPhone,"iPhone 8",20181126040535.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Phones,Apple,iPhone,"iPhone 8",20181126040535.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Phones,Apple,iPhone,"iPhone 8 Plus",20181126041650.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Phones,Apple,iPhone,"iPhone 8 Plus",20181126041650.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Phones,Samsung,Samsung,"Galaxy S6 Edge Plus (G928i)",20181126041740.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
